preco_total,quartos,banheiros,suites,vagas,mobiliado,area_util
3110,2,2,1,1,0,82.0
3400,2,1,0,1,0,53.0
2400,2,1,0,1,0,45.0
2871,1,1,0,1,1,37.0
3400,1,1,1,1,1,38.0
860,1,1,0,0,0,45.0
7890,3,2,1,1,0,196.0
3330,1,1,1,1,1,40.0
5760,2,1,1,2,0,85.0
4985,3,2,0,1,0,145.0
34800,2,4,2,5,0,425.0
2700,1,1,0,1,1,35.0
3648,1,1,0,1,0,28.0
3110,1,1,0,1,1,33.0
1440,2,1,0,0,1,40.0
2600,2,2,0,1,0,58.0
3000,3,2,0,2,0,120.0
2923,1,2,1,1,1,45.0
19190,1,1,0,1,1,55.0
2100,1,1,1,0,0,32.0
5686,1,1,0,1,1,36.0
3390,3,2,1,1,0,93.0
2020,1,1,1,1,0,36.0
2112,1,1,0,1,0,45.0
28000,5,6,4,6,0,580.0
3767,1,1,0,0,1,20.0
3500,1,1,1,1,1,46.0
3140,1,1,0,1,0,40.0
3370,1,1,1,1,1,45.0
5200,2,2,1,1,1,49.0
2535,1,1,0,0,1,26.0
4000,1,1,1,1,1,55.0
10000,1,2,1,2,1,76.0
6100,2,1,1,1,1,80.0
2933,1,1,0,1,0,42.0
3563,2,2,2,1,0,70.0
3900,1,1,0,1,0,35.0
4737,3,3,1,2,0,150.0
12900,1,2,1,2,1,104.0
2970,1,1,1,1,1,36.0
4380,1,1,1,1,1,49.0
3210,1,1,0,1,1,43.0
2200,3,2,0,2,0,100.0
4341,3,3,1,2,0,100.0
4420,3,5,3,2,1,143.0
5633,3,2,1,2,0,107.0
5596,3,2,1,2,0,84.0
1495,1,1,0,0,0,33.0
3000,2,2,1,11,0,105.0
3600,1,1,0,1,1,40.0
4240,3,3,2,1,0,90.0
2936,1,1,0,1,0,45.0
1200,2,1,0,0,0,45.0
1864,1,1,0,0,0,34.0
3182,1,1,1,1,0,37.0
2721,2,2,1,1,0,50.0
5638,1,2,1,2,0,73.0
4910,1,1,0,1,1,35.0
3000,2,1,1,1,0,100.0
3093,1,1,0,1,1,47.0
1830,1,1,1,1,0,33.0
8100,3,2,0,1,0,103.0
11394,4,5,2,2,0,195.0
4977,1,1,1,1,0,27.0
4250,1,3,1,1,1,50.0
18562,3,5,3,3,1,250.0
2981,2,1,0,1,0,62.0
6870,3,3,1,1,0,112.0
3500,2,1,0,1,1,60.0
4202,2,1,0,1,0,60.0
10490,3,5,3,4,0,220.0
2700,1,1,1,1,1,30.0
1280,1,1,0,0,0,29.0
3050,3,2,1,1,1,68.0
4814,3,2,1,1,0,110.0
2880,1,1,0,0,1,22.0
5860,2,2,1,1,1,66.0
3600,1,1,1,1,1,35.0
3590,2,1,0,1,1,50.0
16700,2,1,1,1,1,95.0
5270,1,1,1,1,1,35.0
10000,5,5,2,8,0,350.0
7000,3,4,3,3,0,163.0
3600,1,1,1,1,1,30.0
1750,2,1,0,1,0,70.0
3170,2,2,0,2,0,72.0
6550,3,4,2,1,0,120.0
2800,4,2,0,1,0,170.0
3593,3,2,0,1,0,97.0
4760,3,2,1,2,1,142.0
26530,3,2,1,2,0,230.0
3665,1,1,0,1,1,29.0
2500,2,2,0,1,1,75.0
3350,1,1,0,1,1,28.0
892,1,1,0,0,0,31.0
12400,3,4,1,2,1,133.0
25000,6,8,4,20,0,987.0
7554,4,3,2,0,1,140.0
34999,4,6,4,4,1,316.0
3800,3,3,3,2,0,150.0
15700,4,5,1,3,0,283.0
1700,2,1,0,0,0,80.0
2550,3,2,1,2,0,66.0
20000,6,4,1,6,0,900.0
6650,2,2,1,1,1,70.0
4700,2,1,0,1,1,54.0
15000,4,3,2,6,1,600.0
2865,3,2,1,1,0,60.0
3020,1,1,0,1,0,33.0
31600,4,6,4,4,0,292.0
27600,5,9,5,6,0,852.0
5404,3,2,1,2,0,102.0
5000,3,3,1,3,0,226.0
6064,3,4,2,2,0,148.0
1950,1,1,0,0,0,45.0
3120,1,1,0,1,1,45.0
1553,1,1,0,0,0,80.0
2947,2,1,0,0,0,70.0
